UNREGISTERED	weekday	occ=3	passages=V11-B15-G3-005
UNREGISTERED	acceptable	occ=2	passages=V11-B15-G2-012
UNREGISTERED	additional	occ=2	passages=V11-B15-G2-006,V11-B15-G3-014
UNREGISTERED	aids	occ=2	passages=V11-B15-G3-014
UNREGISTERED	announcements	occ=2	passages=V11-B15-G2-016,V11-B15-G3-014
FUTURE_V7	answer	occ=2	passages=V11-B15-G1-004,V11-B15-G1-014
UNREGISTERED	attached	occ=2	passages=V11-B15-G1-007,V11-B15-G3-008
UNREGISTERED	attend	occ=2	passages=V11-B15-G3-006
UNREGISTERED	attendance	occ=2	passages=V11-B15-G3-006,V11-B15-G3-009
UNREGISTERED	aya	occ=2	passages=V11-B15-G3-010
UNREGISTERED	background	occ=2	passages=V11-B15-G2-008,V11-B15-G3-004
FUTURE_V7	beginning	occ=2	passages=V11-B15-G1-006,V11-B15-G2-009
FUTURE_V7	between	occ=2	passages=V11-B15-G1-007,V11-B15-G1-012
UNREGISTERED	blocking	occ=2	passages=V11-B15-G1-010,V11-B15-G3-009
UNREGISTERED	cashier	occ=2	passages=V11-B15-G2-009
UNREGISTERED	categories	occ=2	passages=V11-B15-G2-012,V11-B15-G3-005
UNREGISTERED	cheerful	occ=2	passages=V11-B15-G2-008
UNREGISTERED	classrooms	occ=2	passages=V11-B15-G1-015,V11-B15-G2-003
UNREGISTERED	cleaners	occ=2	passages=V11-B15-G1-004
UNREGISTERED	clue	occ=2	passages=V11-B15-G1-012,V11-B15-G1-014
UNREGISTERED	comparison	occ=2	passages=V11-B15-G3-011,V11-B15-G3-016
UNREGISTERED	confuse	occ=2	passages=V11-B15-G3-002,V11-B15-G3-011
UNREGISTERED	counter	occ=2	passages=V11-B15-G2-004
UNREGISTERED	courtyard	occ=2	passages=V11-B15-G2-016
UNREGISTERED	daiki	occ=2	passages=V11-B15-G1-012
UNREGISTERED	dance	occ=2	passages=V11-B15-G1-014
UNREGISTERED	decision	occ=2	passages=V11-B15-G3-009
FUTURE_V7	decision	occ=2	passages=V11-B15-G1-010,V11-B15-G2-006
UNREGISTERED	descriptions	occ=2	passages=V11-B15-G3-012,V11-B15-G3-013
UNREGISTERED	dessert	occ=2	passages=V11-B15-G2-015
UNREGISTERED	disappeared	occ=2	passages=V11-B15-G2-009,V11-B15-G3-007
UNREGISTERED	dot	occ=2	passages=V11-B15-G1-017
UNREGISTERED	echo	occ=2	passages=V11-B15-G2-016
UNREGISTERED	effect	occ=2	passages=V11-B15-G2-002,V11-B15-G2-014
FUTURE_V7	environmental	occ=2	passages=V11-B15-G2-001,V11-B15-G2-015
UNREGISTERED	familiar	occ=2	passages=V11-B15-G1-007,V11-B15-G3-002
UNREGISTERED	fence	occ=2	passages=V11-B15-G1-009,V11-B15-G3-008
UNREGISTERED	forms	occ=2	passages=V11-B15-G2-005
UNREGISTERED	grade	occ=2	passages=V11-B15-G2-017
UNREGISTERED	harbor	occ=2	passages=V11-B15-G3-003
UNREGISTERED	harvest	occ=2	passages=V11-B15-G3-011
UNREGISTERED	ice	occ=2	passages=V11-B15-G2-006
FUTURE_V7	judge	occ=2	passages=V11-B15-G2-014,V11-B15-G3-010
UNREGISTERED	label	occ=2	passages=V11-B15-G2-013,V11-B15-G3-004
UNREGISTERED	labeled	occ=2	passages=V11-B15-G2-007,V11-B15-G3-007
UNREGISTERED	leafy	occ=2	passages=V11-B15-G3-011
UNREGISTERED	magnets	occ=2	passages=V11-B15-G1-008
FUTURE_V7	moon	occ=2	passages=V11-B15-G1-008
UNREGISTERED	pairs	occ=2	passages=V11-B15-G1-003
UNREGISTERED	past	occ=2	passages=V11-B15-G2-001,V11-B15-G2-013
UNREGISTERED	pause	occ=2	passages=V11-B15-G3-013
UNREGISTERED	pauses	occ=2	passages=V11-B15-G3-013
FUTURE_V7	piece	occ=2	passages=V11-B15-G1-008,V11-B15-G1-013
FUTURE_V7	plan	occ=2	passages=V11-B15-G1-013,V11-B15-G1-017
UNREGISTERED	plate	occ=2	passages=V11-B15-G2-015
UNREGISTERED	prevented	occ=2	passages=V11-B15-G2-013,V11-B15-G3-012
UNREGISTERED	proof	occ=2	passages=V11-B15-G3-011,V11-B15-G3-012
UNREGISTERED	rabbit	occ=2	passages=V11-B15-G1-001
UNREGISTERED	racks	occ=2	passages=V11-B15-G3-008
UNREGISTERED	recent	occ=2	passages=V11-B15-G2-012,V11-B15-G3-016
UNREGISTERED	reference	occ=2	passages=V11-B15-G2-012
FUTURE_V7	relay	occ=2	passages=V11-B15-G1-009
UNREGISTERED	remain	occ=2	passages=V11-B15-G3-006
UNREGISTERED	routine	occ=2	passages=V11-B15-G3-001
UNREGISTERED	safely	occ=2	passages=V11-B15-G3-003,V11-B15-G3-009
UNREGISTERED	sampling	occ=2	passages=V11-B15-G3-016
UNREGISTERED	spaces	occ=2	passages=V11-B15-G3-008,V11-B15-G3-014
FUTURE_V7	sports	occ=2	passages=V11-B15-G1-009
UNREGISTERED	stable	occ=2	passages=V11-B15-G3-001
UNREGISTERED	steadily	occ=2	passages=V11-B15-G2-003,V11-B15-G3-005
FUTURE_V7	sticker	occ=2	passages=V11-B15-G1-001,V11-B15-G1-008
UNREGISTERED	summary	occ=2	passages=V11-B15-G3-004
UNREGISTERED	sunlight	occ=2	passages=V11-B15-G2-006,V11-B15-G3-011
UNREGISTERED	taichi	occ=2	passages=V11-B15-G1-009
UNREGISTERED	textbooks	occ=2	passages=V11-B15-G3-010
UNREGISTERED	trays	occ=2	passages=V11-B15-G1-011
UNREGISTERED	volume	occ=2	passages=V11-B15-G2-008,V11-B15-G2-016
UNREGISTERED	wide	occ=2	passages=V11-B15-G1-010,V11-B15-G3-014
FUTURE_V7	wrong	occ=2	passages=V11-B15-G1-001,V11-B15-G1-004
UNREGISTERED	access	occ=1	passages=V11-B15-G3-014
UNREGISTERED	accusation	occ=1	passages=V11-B15-G3-012
UNREGISTERED	acting	occ=1	passages=V11-B15-G1-010
UNREGISTERED	adjusted	occ=1	passages=V11-B15-G3-011
FUTURE_V7	adult	occ=1	passages=V11-B15-G1-012
FUTURE_V7	air	occ=1	passages=V11-B15-G1-010
UNREGISTERED	allowing	occ=1	passages=V11-B15-G2-014
UNREGISTERED	appearance	occ=1	passages=V11-B15-G3-008
UNREGISTERED	approach	occ=1	passages=V11-B15-G2-010
UNREGISTERED	approving	occ=1	passages=V11-B15-G3-002
UNREGISTERED	areas	occ=1	passages=V11-B15-G3-009
UNREGISTERED	arrange	occ=1	passages=V11-B15-G1-017
FUTURE_V7	arrive	occ=1	passages=V11-B15-G1-004
UNREGISTERED	assignments	occ=1	passages=V11-B15-G3-014
UNREGISTERED	attended	occ=1	passages=V11-B15-G3-006
UNREGISTERED	attractive	occ=1	passages=V11-B15-G2-008
UNREGISTERED	availability	occ=1	passages=V11-B15-G3-009
UNREGISTERED	averaged	occ=1	passages=V11-B15-G3-001
UNREGISTERED	avoided	occ=1	passages=V11-B15-G3-001
UNREGISTERED	backup	occ=1	passages=V11-B15-G3-009
UNREGISTERED	balanced	occ=1	passages=V11-B15-G3-014
UNREGISTERED	bar	occ=1	passages=V11-B15-G2-017
UNREGISTERED	bars	occ=1	passages=V11-B15-G3-008
FUTURE_V7	basket	occ=1	passages=V11-B15-G1-009
UNREGISTERED	basketball	occ=1	passages=V11-B15-G2-011
FUTURE_V7	begins	occ=1	passages=V11-B15-G2-009
UNREGISTERED	block	occ=1	passages=V11-B15-G3-006
UNREGISTERED	briefly	occ=1	passages=V11-B15-G3-008
UNREGISTERED	broadcasting	occ=1	passages=V11-B15-G2-008
UNREGISTERED	broader	occ=1	passages=V11-B15-G3-005
UNREGISTERED	budget	occ=1	passages=V11-B15-G3-008
UNREGISTERED	button	occ=1	passages=V11-B15-G3-013
UNREGISTERED	calendar	occ=1	passages=V11-B15-G1-016
FUTURE_V7	calling	occ=1	passages=V11-B15-G1-011
UNREGISTERED	cancelled	occ=1	passages=V11-B15-G3-009
UNREGISTERED	cancelling	occ=1	passages=V11-B15-G3-009
UNREGISTERED	capacities	occ=1	passages=V11-B15-G3-006
UNREGISTERED	careless	occ=1	passages=V11-B15-G2-014
UNREGISTERED	cast	occ=1	passages=V11-B15-G3-011
UNREGISTERED	category	occ=1	passages=V11-B15-G2-007
FUTURE_V7	caught	occ=1	passages=V11-B15-G1-010
UNREGISTERED	checkout	occ=1	passages=V11-B15-G2-009
FUTURE_V7	chosen	occ=1	passages=V11-B15-G2-004
UNREGISTERED	claiming	occ=1	passages=V11-B15-G3-015
UNREGISTERED	clues	occ=1	passages=V11-B15-G1-001
UNREGISTERED	collection	occ=1	passages=V11-B15-G2-007
UNREGISTERED	comfortably	occ=1	passages=V11-B15-G3-006
UNREGISTERED	comments	occ=1	passages=V11-B15-G2-017
FUTURE_V7	common	occ=1	passages=V11-B15-G2-012
UNREGISTERED	completion	occ=1	passages=V11-B15-G2-017
UNREGISTERED	concern	occ=1	passages=V11-B15-G3-004
UNREGISTERED	conclusions	occ=1	passages=V11-B15-G3-005
FUTURE_V7	condition	occ=1	passages=V11-B15-G2-012
UNREGISTERED	confirming	occ=1	passages=V11-B15-G3-009
UNREGISTERED	conflict	occ=1	passages=V11-B15-G3-006
UNREGISTERED	confused	occ=1	passages=V11-B15-G2-012
UNREGISTERED	confusion	occ=1	passages=V11-B15-G3-009
UNREGISTERED	consistently	occ=1	passages=V11-B15-G3-003
FUTURE_V7	contact	occ=1	passages=V11-B15-G2-005
UNREGISTERED	containers	occ=1	passages=V11-B15-G2-015
UNREGISTERED	correction	occ=1	passages=V11-B15-G3-004
FUTURE_V7	cover	occ=1	passages=V11-B15-G1-012
UNREGISTERED	crops	occ=1	passages=V11-B15-G3-011
UNREGISTERED	crowd	occ=1	passages=V11-B15-G3-007
UNREGISTERED	crowding	occ=1	passages=V11-B15-G2-003
FUTURE_V7	dangerous	occ=1	passages=V11-B15-G2-006
UNREGISTERED	data	occ=1	passages=V11-B15-G3-005
UNREGISTERED	delivered	occ=1	passages=V11-B15-G3-001
UNREGISTERED	demand	occ=1	passages=V11-B15-G3-008
UNREGISTERED	depend	occ=1	passages=V11-B15-G3-003
UNREGISTERED	despite	occ=1	passages=V11-B15-G3-008
FUTURE_V7	different	occ=1	passages=V11-B15-G1-017
UNREGISTERED	difficulty	occ=1	passages=V11-B15-G2-005
UNREGISTERED	directed	occ=1	passages=V11-B15-G3-003
UNREGISTERED	discovered	occ=1	passages=V11-B15-G3-005
UNREGISTERED	dish	occ=1	passages=V11-B15-G2-005
UNREGISTERED	disliked	occ=1	passages=V11-B15-G2-005
UNREGISTERED	disorganized	occ=1	passages=V11-B15-G3-007
UNREGISTERED	displayed	occ=1	passages=V11-B15-G2-017
UNREGISTERED	disruptions	occ=1	passages=V11-B15-G3-014
UNREGISTERED	distant	occ=1	passages=V11-B15-G3-006
FUTURE_V7	donated	occ=1	passages=V11-B15-G2-012
FUTURE_V7	donating	occ=1	passages=V11-B15-G2-012
FUTURE_V7	done	occ=1	passages=V11-B15-G2-016
UNREGISTERED	doorway	occ=1	passages=V11-B15-G1-010
FUTURE_V7	doubled	occ=1	passages=V11-B15-G2-001
UNREGISTERED	drier	occ=1	passages=V11-B15-G3-008
UNREGISTERED	dropped	occ=1	passages=V11-B15-G1-006
UNREGISTERED	easiest	occ=1	passages=V11-B15-G3-014
FUTURE_V7	easy	occ=1	passages=V11-B15-G1-017
UNREGISTERED	editor	occ=1	passages=V11-B15-G3-004
UNREGISTERED	effectively	occ=1	passages=V11-B15-G3-011
UNREGISTERED	eggs	occ=1	passages=V11-B15-G1-011
UNREGISTERED	elsewhere	occ=1	passages=V11-B15-G3-015
UNREGISTERED	emi	occ=1	passages=V11-B15-G2-004
FUTURE_V7	enough	occ=1	passages=V11-B15-G2-016
UNREGISTERED	especially	occ=1	passages=V11-B15-G2-013
UNREGISTERED	estimate	occ=1	passages=V11-B15-G3-009
UNREGISTERED	estimated	occ=1	passages=V11-B15-G3-008
UNREGISTERED	estimating	occ=1	passages=V11-B15-G3-003
UNREGISTERED	events	occ=1	passages=V11-B15-G3-009
UNREGISTERED	everywhere	occ=1	passages=V11-B15-G2-015
UNREGISTERED	exact	occ=1	passages=V11-B15-G3-002
UNREGISTERED	existing	occ=1	passages=V11-B15-G3-014
UNREGISTERED	exits	occ=1	passages=V11-B15-G3-009
UNREGISTERED	extending	occ=1	passages=V11-B15-G2-011
UNREGISTERED	facing	occ=1	passages=V11-B15-G1-013
UNREGISTERED	fell	occ=1	passages=V11-B15-G2-011
UNREGISTERED	fifty	occ=1	passages=V11-B15-G3-006
UNREGISTERED	filled	occ=1	passages=V11-B15-G3-008
UNREGISTERED	filling	occ=1	passages=V11-B15-G2-011
FUTURE_V7	find	occ=1	passages=V11-B15-G1-004
FUTURE_V7	finish	occ=1	passages=V11-B15-G1-012
FUTURE_V7	fire	occ=1	passages=V11-B15-G1-016
UNREGISTERED	fitting	occ=1	passages=V11-B15-G3-014
UNREGISTERED	flexible	occ=1	passages=V11-B15-G3-014
UNREGISTERED	focused	occ=1	passages=V11-B15-G2-006
UNREGISTERED	folders	occ=1	passages=V11-B15-G1-005
UNREGISTERED	force	occ=1	passages=V11-B15-G3-006
UNREGISTERED	forcing	occ=1	passages=V11-B15-G3-002
UNREGISTERED	format	occ=1	passages=V11-B15-G3-012
UNREGISTERED	fresh	occ=1	passages=V11-B15-G1-010
